iter	Passed	Remaining
0	4	4847
1	7	3888
2	10	3447
3	13	3399
4	16	3380
5	20	3339
6	23	3322
7	27	3455
8	32	3536
9	35	3498
10	38	3460
11	41	3454
12	45	3462
13	48	3444
14	52	3420
15	55	3413
16	58	3378
17	61	3348
18	64	3334
19	69	3388
20	72	3387
21	75	3374
22	79	3367
23	82	3356
24	85	3338
25	88	3309
26	92	3336
27	95	3322
28	99	3321
29	102	3313
30	105	3304
31	108	3288
32	111	3279
33	115	3274
34	119	3292
35	123	3301
36	127	3309
37	131	3335
38	136	3374
39	141	3398
40	146	3415
41	150	3436
42	155	3450
43	158	3450
44	163	3465
45	167	3472
46	170	3464
47	174	3466
48	179	3474
49	183	3489
50	188	3498
51	191	3498
52	195	3484
53	197	3465
54	200	3448
55	203	3431
56	207	3435
57	211	3439
58	216	3459
59	222	3488
60	227	3503
61	232	3518
62	236	3524
63	240	3522
64	246	3540
65	251	3563
66	257	3580
67	262	3592
68	266	3589
69	271	3603
70	274	3597
71	279	3599
72	283	3600
73	287	3596
74	291	3598
75	296	3603
76	300	3596
77	303	3581
78	306	3570
79	310	3566
80	313	3556
81	316	3547
82	320	3544
83	325	3545
84	327	3529
85	330	3515
86	333	3501
87	336	3488
88	339	3474
89	343	3473
90	347	3468
91	350	3455
92	353	3445
93	356	3433
94	358	3419
95	361	3407
96	364	3396
97	367	3383
98	370	3371
99	373	3360
100	377	3358
101	381	3360
102	385	3360
103	389	3352
104	393	3351
105	397	3352
106	400	3341
107	403	3330
108	405	3317
109	409	3309
110	412	3303
111	415	3295
112	418	3288
113	422	3282
114	425	3274
115	428	3267
116	431	3255
117	434	3243
118	437	3236
119	440	3231
120	443	3221
121	446	3209
122	448	3200
123	451	3193
124	454	3181
125	457	3172
126	460	3166
127	463	3160
128	467	3155
129	470	3151
130	474	3148
131	477	3139
132	481	3136
133	483	3127
134	486	3119
135	490	3113
136	493	3105
137	496	3102
138	500	3100
139	504	3096
140	508	3096
141	512	3097
142	515	3091
143	519	3091
144	522	3082
145	526	3077
146	529	3073
147	533	3072
148	537	3068
149	540	3061
150	544	3060
151	548	3058
152	552	3057
153	557	3062
154	560	3058
155	565	3058
156	568	3052
157	572	3048
158	576	3046
159	579	3043
160	583	3040
161	587	3038
162	591	3035
163	594	3031
164	599	3032
165	602	3027
166	606	3025
167	611	3026
168	614	3023
169	618	3017
170	620	3010
171	624	3004
172	628	3002
173	631	2998
174	634	2992
175	637	2986
176	641	2980
177	643	2973
178	648	2972
179	651	2968
180	655	2964
181	659	2962
182	663	2963
183	668	2962
184	670	2955
185	674	2953
186	678	2949
187	682	2949
188	687	2947
189	691	2948
190	696	2950
191	701	2952
192	706	2952
193	709	2948
194	713	2945
195	716	2939
196	721	2938
197	726	2940
198	729	2934
199	732	2930
200	736	2926
201	739	2923
202	743	2919
203	748	2919
204	752	2917
205	756	2917
206	760	2912
207	764	2909
208	766	2902
209	770	2897
210	773	2891
211	778	2892
212	783	2895
213	788	2896
214	792	2892
215	797	2893
216	802	2893
217	805	2888
218	808	2885
219	812	2879
220	815	2875
221	819	2870
222	823	2869
223	826	2863
224	831	2865
225	837	2868
226	842	2869
227	846	2867
228	850	2864
229	855	2864
230	860	2865
231	865	2863
232	869	2863
233	873	2860
234	879	2861
235	883	2860
236	887	2858
237	892	2858
238	897	2858
239	903	2861
240	908	2860
241	913	2860
242	918	2860
243	921	2856
244	925	2853
245	930	2850
246	934	2847
247	938	2844
248	942	2841
249	945	2837
250	949	2832
251	955	2835
252	959	2833
253	964	2834
254	968	2829
255	973	2827
256	977	2824
257	980	2821
258	984	2818
259	988	2814
260	992	2810
261	995	2804
262	999	2800
263	1003	2796
264	1006	2792
265	1010	2788
266	1013	2783
267	1017	2778
268	1021	2776
269	1027	2778
270	1032	2776
271	1036	2772
272	1040	2770
273	1044	2768
274	1048	2765
275	1053	2762
276	1056	2756
277	1059	2752
278	1063	2747
279	1068	2747
280	1072	2745
281	1076	2741
282	1081	2739
283	1085	2735
284	1090	2735
285	1093	2730
286	1097	2726
287	1102	2725
288	1107	2723
289	1110	2718
290	1113	2713
291	1116	2706
292	1119	2702
293	1123	2698
294	1127	2693
295	1130	2689
296	1135	2688
297	1139	2684
298	1142	2679
299	1147	2677
300	1151	2673
301	1156	2673
302	1159	2667
303	1163	2663
304	1166	2659
305	1171	2657
306	1175	2652
307	1178	2647
308	1182	2643
309	1185	2638
310	1188	2633
311	1192	2630
312	1196	2626
313	1199	2620
314	1202	2615
315	1206	2611
316	1209	2606
317	1214	2604
318	1217	2599
319	1221	2596
320	1226	2594
321	1230	2590
322	1234	2587
323	1238	2583
324	1241	2578
325	1246	2576
326	1250	2573
327	1254	2569
328	1257	2565
329	1261	2561
330	1265	2557
331	1269	2554
332	1273	2549
333	1275	2544
334	1279	2539
335	1282	2533
336	1285	2528
337	1288	2523
338	1293	2521
339	1297	2518
340	1301	2514
341	1304	2509
342	1308	2506
343	1312	2502
344	1317	2501
345	1323	2501
346	1327	2498
347	1331	2493
348	1335	2491
349	1339	2487
350	1343	2484
351	1347	2480
352	1350	2475
353	1354	2472
354	1358	2467
355	1362	2464
356	1365	2460
357	1369	2455
358	1372	2450
359	1376	2446
360	1379	2441
361	1384	2440
362	1388	2435
363	1391	2431
364	1396	2430
365	1399	2424
366	1403	2421
367	1406	2416
368	1409	2410
369	1413	2406
370	1416	2401
371	1419	2395
372	1421	2390
373	1425	2386
374	1429	2382
375	1433	2379
376	1438	2377
377	1443	2374
378	1448	2372
379	1451	2369
380	1455	2365
381	1459	2361
382	1463	2357
383	1466	2353
384	1469	2347
385	1472	2342
386	1475	2337
387	1478	2332
388	1482	2328
389	1487	2326
390	1491	2322
391	1494	2317
392	1497	2313
393	1501	2309
394	1504	2304
395	1507	2299
396	1510	2294
397	1513	2289
398	1517	2285
399	1520	2281
400	1524	2276
401	1527	2272
402	1531	2269
403	1535	2265
404	1539	2261
405	1543	2257
406	1547	2254
407	1550	2249
408	1553	2245
409	1557	2241
410	1561	2238
411	1564	2232
412	1567	2228
413	1571	2223
414	1574	2219
415	1577	2215
416	1581	2211
417	1584	2206
418	1587	2201
419	1590	2196
420	1594	2193
421	1598	2188
422	1601	2183
423	1604	2179
424	1607	2175
425	1612	2172
426	1616	2168
427	1620	2165
428	1624	2162
429	1629	2159
430	1633	2156
431	1637	2153
432	1641	2149
433	1645	2146
434	1650	2143
435	1654	2140
436	1657	2135
437	1661	2131
438	1664	2127
439	1668	2123
440	1671	2119
441	1675	2114
442	1678	2110
443	1681	2106
444	1686	2102
445	1690	2099
446	1693	2095
447	1697	2092
448	1700	2087
449	1703	2082
450	1707	2078
451	1711	2074
452	1714	2070
453	1718	2066
454	1721	2062
455	1725	2059
456	1730	2056
457	1735	2053
458	1739	2050
459	1743	2046
460	1747	2042
461	1751	2039
462	1754	2035
463	1757	2030
464	1761	2026
465	1765	2022
466	1768	2018
467	1772	2015
468	1776	2011
469	1779	2006
470	1784	2003
471	1786	1998
472	1790	1994
473	1793	1990
474	1796	1985
475	1800	1981
476	1803	1977
477	1807	1974
478	1811	1970
479	1814	1966
480	1819	1963
481	1823	1959
482	1827	1956
483	1832	1953
484	1836	1949
485	1839	1945
486	1843	1942
487	1847	1938
488	1851	1934
489	1853	1929
490	1858	1926
491	1862	1923
492	1866	1919
493	1870	1915
494	1873	1911
495	1877	1907
496	1881	1903
497	1885	1900
498	1888	1895
499	1891	1891
500	1895	1887
501	1899	1884
502	1902	1880
503	1906	1876
504	1911	1874
505	1915	1870
506	1919	1866
507	1924	1864
508	1929	1861
509	1933	1857
510	1937	1854
511	1941	1850
512	1945	1846
513	1950	1843
514	1954	1840
515	1957	1836
516	1961	1832
517	1965	1828
518	1969	1824
519	1973	1821
520	1977	1817
521	1980	1813
522	1985	1810
523	1987	1805
524	1991	1802
525	1995	1798
526	1998	1793
527	2001	1789
